,defence_scored_average,points_scored_average,sal_diff,in_win_diff,out_win_diff,difference,total_points,target_flag
398,190.0,210.0,-17939916.0,-8.0,2.0,6,184,0.0
399,211.0,202.0,6757056.0,-2.0,6.0,-19,187,0.0
400,215.0,212.0,21784462.0,2.0,7.0,-6,230,1.0
401,202.0,212.0,5805712.0,6.0,1.0,4,222,1.0
402,220.0,200.0,-10890699.0,0.0,4.0,7,191,0.0
403,195.0,208.0,8440591.0,2.0,11.0,6,242,1.0
404,203.0,204.0,-12143126.0,-7.0,2.0,3,203,0.0
405,215.0,232.0,15329345.0,1.0,12.0,12,204,0.0
406,210.0,214.0,-37521995.0,1.0,6.0,-5,195,0.0
407,216.0,201.0,27402975.0,-2.0,8.0,-7,197,0.0
408,221.0,222.0,-3731299.0,-2.0,7.0,7,223,1.0
